
query,description,tables_present,joins_present
SELECT * FROM customers WHERE status = 'active',This query selects * from the customers table. with a filter on status = 'active'.,customers,
SELECT COUNT(*) FROM orders WHERE order_date >= '2024-01-01',This query selects count(*) from the orders table. calculates a count. with a filter on order_date >= '2024-01-01'.,orders,
"SELECT customer_id, SUM(total_amount) FROM orders GROUP BY customer_id","This query selects customer_id, sum(total_amount) from the orders table. calculates a sum. grouped by customer_id.",orders,
SELECT * FROM products WHERE category = 'electronics' AND price < 500,This query selects * from the products table. with a filter on category = 'electronics' and price < 500.,products,
"SELECT o.order_id, c.customer_name FROM orders o JOIN customers c ON o.customer_id = c.customer_id","This query selects o.order_id, c.customer_name from multiple tables including orders, customers. using JOIN.","orders, customers",JOIN
SELECT AVG(price) FROM products WHERE category = 'clothing',This query selects avg(price) from the products table. calculates an average. with a filter on category = 'clothing'.,products,
SELECT * FROM inventory WHERE quantity < 10,This query selects * from the inventory table. with a filter on quantity < 10.,inventory,
"SELECT customer_id, COUNT(*) as order_count FROM orders GROUP BY customer_id HAVING COUNT(*) > 5","This query selects customer_id, count(*) as order_count from the orders table. calculates a count. grouped by customer_id. with a HAVING condition on count(*) > 5.",orders,
SELECT * FROM employees WHERE hire_date BETWEEN '2023-01-01' AND '2023-12-31',This query selects * from the employees table. with a filter on hire_date between '2023-01-01' and '2023-12-31'.,employees,
"SELECT product_name, MAX(price) FROM products GROUP BY category","This query selects product_name, max(price) from the products table. finds the maximum value. grouped by category.",products,
UPDATE customers SET status = 'inactive' WHERE last_order_date < '2023-01-01',Updates rows in the customers table.,,
DELETE FROM temp_orders WHERE created_date < CURRENT_DATE - INTERVAL '7 days',Deletes rows from the temp_orders table.,temp_orders,
"INSERT INTO products (name, category, price) VALUES ('New Item', 'gadgets', 99.99)",Inserts new rows into the products table.,,
SELECT DISTINCT category FROM products ORDER BY category,This query selects distinct category from the products table. ordered by category. selects distinct values.,products,
SELECT * FROM orders WHERE total_amount > (SELECT AVG(total_amount) FROM orders),This query selects * from the orders table. calculates an average. with a filter on total_amount > (select avg(total_amount) from orders).,orders,
"SELECT c.customer_name, COUNT(o.order_id) FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id","This query selects c.customer_name, count(o.order_id) from multiple tables including customers, orders. calculates a count. grouped by c.customer_id. using LEFT JOIN.","customers, orders",LEFT JOIN
SELECT * FROM products WHERE product_name LIKE '%phone%',This query selects * from the products table. with a filter on product_name like '%phone%'.,products,
"SELECT YEAR(order_date) as year, MONTH(order_date) as month, SUM(total_amount) FROM orders GROUP BY YEAR(order_date), MONTH(order_date)","This query selects year(order_date) as year, month(order_date) as month, sum(total_amount) from the orders table. calculates a sum. grouped by year(order_date), month(order_date).",orders,
SELECT * FROM customers WHERE email IS NULL OR email = '',This query selects * from the customers table. with a filter on email is null or email = ''.,customers,
SELECT TOP 10 * FROM orders ORDER BY total_amount DESC,This query selects top 10 * from the orders table. ordered by total_amount desc.,orders,
CREATE INDEX idx_customer_email ON customers(email),This query selects data from tables.,,
"ALTER TABLE products ADD COLUMN discount_percentage DECIMAL(5,2)",This query selects data from tables.,,
"SELECT p.product_name, SUM(oi.quantity) FROM products p JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_id","This query selects p.product_name, sum(oi.quantity) from multiple tables including products, order_items. calculates a sum. grouped by p.product_id. using JOIN.","products, order_items",JOIN
"SELECT * FROM orders WHERE DATEDIFF(CURRENT_DATE, order_date) <= 30","This query selects * from the orders table. with a filter on datediff(current_date, order_date) <= 30.",orders,
"SELECT customer_id, MIN(order_date) as first_order, MAX(order_date) as last_order FROM orders GROUP BY customer_id","This query selects customer_id, min(order_date) as first_order, max(order_date) as last_order from the orders table. finds the minimum value. finds the maximum value. grouped by customer_id.",orders,
SELECT * FROM products WHERE price BETWEEN 100 AND 500,This query selects * from the products table. with a filter on price between 100 and 500.,products,
UPDATE inventory SET quantity = quantity - 1 WHERE product_id = 123,Updates rows in the inventory table.,,
"SELECT c.customer_name, SUM(o.total_amount) as lifetime_value FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id ORDER BY lifetime_value DESC","This query selects c.customer_name, sum(o.total_amount) as lifetime_value from multiple tables including customers, orders. calculates a sum. grouped by c.customer_id. ordered by lifetime_value desc. using JOIN.","customers, orders",JOIN
"SELECT * FROM orders WHERE order_status IN ('pending', 'processing')","This query selects * from the orders table. with a filter on order_status in ('pending', 'processing').",orders,
"SELECT AVG(DATEDIFF(ship_date, order_date)) as avg_shipping_days FROM orders WHERE ship_date IS NOT NULL","This query selects avg(datediff(ship_date, order_date)) as avg_shipping_days from the orders table. calculates an average. with a filter on ship_date is not null.",orders,
"SELECT product_id, COUNT(*) as return_count FROM returns GROUP BY product_id ORDER BY return_count DESC","This query selects product_id, count(*) as return_count from the returns table. calculates a count. grouped by product_id. ordered by return_count desc.",returns,
SELECT * FROM customers WHERE YEAR(registration_date) = YEAR(CURRENT_DATE),This query selects * from the customers table. with a filter on year(registration_date) = year(current_date).,customers,
"SELECT category, COUNT(*) as product_count, AVG(price) as avg_price FROM products GROUP BY category","This query selects category, count(*) as product_count, avg(price) as avg_price from the products table. calculates a count. calculates an average. grouped by category.",products,
SELECT * FROM employees WHERE department = 'sales' AND salary > 50000,This query selects * from the employees table. with a filter on department = 'sales' and salary > 50000.,employees,
DELETE FROM customers WHERE status = 'inactive' AND last_login_date < '2022-01-01',Deletes rows from the customers table.,customers,
"SELECT o.order_id, o.total_amount, c.customer_name FROM orders o INNER JOIN customers c ON o.customer_id = c.customer_id WHERE o.total_amount > 1000","This query selects o.order_id, o.total_amount, c.customer_name from multiple tables including orders, customers. with a filter on o.total_amount > 1000. using INNER JOIN.","orders, customers",INNER JOIN
SELECT DISTINCT supplier_id FROM products WHERE category = 'electronics',This query selects distinct supplier_id from the products table. with a filter on category = 'electronics'. selects distinct values.,products,
SELECT * FROM inventory WHERE last_updated < CURRENT_DATE - INTERVAL '30 days',This query selects * from the inventory table. with a filter on last_updated < current_date - interval '30 days'.,inventory,
"SELECT customer_id, AVG(total_amount) as avg_order_value FROM orders GROUP BY customer_id HAVING AVG(total_amount) > 250","This query selects customer_id, avg(total_amount) as avg_order_value from the orders table. calculates an average. grouped by customer_id. with a HAVING condition on avg(total_amount) > 250.",orders,
SELECT * FROM products WHERE description IS NULL,This query selects * from the products table. with a filter on description is null.,products,
"SELECT CONCAT(first_name, ' ', last_name) as full_name FROM customers WHERE status = 'vip'","This query selects concat(first_name, ' ', last_name) as full_name from the customers table. with a filter on status = 'vip'.",customers,
