query,description,tables,joins,tables_parsed,joins_parsed
"SELECT t1.category_id, t1.description, COUNT(*) as count_email FROM project.dataset.categories t1 LEFT JOIN project.dataset.customer_contacts t2 ON t1.category_id = t2.customer_id GROUP BY t1.category_id, t1.description ORDER BY count_email ASC;","This SQL query selects category_id, description from the categories table and computes the aggregate of all rows from the customer_contacts table as None. It performs a left join join between the categories and customer_contacts tables on the relevant fields, groups the results by the selected columns, and orders the results by count_email in asc order.","['`project.dataset.categories`', '`project.dataset.customer_contacts`']","[{""left_table"": ""project.dataset.categories"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.customer_contacts"", ""right_column"": ""customer_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""categories"", ""customer_contacts""]","[{""left_table"": ""categories"", ""right_table"": ""customer_contacts"", ""left_column"": ""category_id"", ""right_column"": ""customer_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.preferred_contact_method, t1.email, t1.contact_id, COUNT(t2.stock_level) as count_stock_level FROM project.dataset.customer_contacts t1 INNER JOIN project.dataset.inventory t2 ON t1.customer_id = t2.product_id GROUP BY t1.preferred_contact_method, t1.email, t1.contact_id ORDER BY t1.contact_id ASC;","This SQL query selects preferred_contact_method, email, contact_id from the customer_contacts table and computes the count of stock_level from the inventory table as count_stock_level. It performs a inner join join between the customer_contacts and inventory tables on the relevant fields, groups the results by the selected columns, and orders the results by contact_id in asc order.","['`project.dataset.customer_contacts`', '`project.dataset.inventory`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.inventory"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""inventory""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""inventory"", ""left_column"": ""customer_id"", ""right_column"": ""product_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.last_name, t1.department_id, t1.hire_date, COUNT(t2.zip_code) as count_zip_code FROM project.dataset.employees t1 RIGHT JOIN project.dataset.locations t2 ON t1.employee_id = t2.location_id GROUP BY t1.last_name, t1.department_id, t1.hire_date ORDER BY t1.last_name DESC;","This SQL query selects last_name, department_id, hire_date from the employees table and computes the count of zip_code from the locations table as count_zip_code. It performs a right join join between the employees and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by last_name in desc order.","['`project.dataset.employees`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.employees"", ""left_column"": ""employee_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""employees"", ""locations""]","[{""left_table"": ""employees"", ""right_table"": ""locations"", ""left_column"": ""employee_id"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.shipment_id, t1.tracking_number, t1.shipment_date, SUM(t2.status) as sum_status FROM project.dataset.shipments t1 RIGHT JOIN project.dataset.return_orders t2 ON t1.order_id = t2.order_id GROUP BY t1.shipment_id, t1.tracking_number, t1.shipment_date ORDER BY t1.shipment_date ASC;","This SQL query selects shipment_id, tracking_number, shipment_date from the shipments table and computes the sum of status from the return_orders table as sum_status. It performs a right join join between the shipments and return_orders tables on the relevant fields, groups the results by the selected columns, and orders the results by shipment_date in asc order.","['`project.dataset.shipments`', '`project.dataset.return_orders`']","[{""left_table"": ""project.dataset.shipments"", ""left_column"": ""order_id"", ""right_table"": ""project.dataset.return_orders"", ""right_column"": ""order_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""shipments"", ""return_orders""]","[{""left_table"": ""shipments"", ""right_table"": ""return_orders"", ""left_column"": ""order_id"", ""right_column"": ""order_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.contact_id, t1.preferred_contact_method, MAX(t2.payment_date) as max_payment_date FROM project.dataset.customer_contacts t1 RIGHT JOIN project.dataset.payments t2 ON t1.customer_id = t2.payment_id GROUP BY t1.contact_id, t1.preferred_contact_method ORDER BY max_payment_date DESC;","This SQL query selects contact_id, preferred_contact_method from the customer_contacts table and computes the max of payment_date from the payments table as max_payment_date. It performs a right join join between the customer_contacts and payments tables on the relevant fields, groups the results by the selected columns, and orders the results by max_payment_date in desc order.","['`project.dataset.customer_contacts`', '`project.dataset.payments`']","[{""left_table"": ""project.dataset.customer_contacts"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.payments"", ""right_column"": ""payment_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""customer_contacts"", ""payments""]","[{""left_table"": ""customer_contacts"", ""right_table"": ""payments"", ""left_column"": ""customer_id"", ""right_column"": ""payment_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.order_id, t1.status, t1.order_date, COUNT(t2.city) as count_city FROM project.dataset.orders t1 INNER JOIN project.dataset.locations t2 ON t1.customer_id = t2.location_id GROUP BY t1.order_id, t1.status, t1.order_date ORDER BY count_city ASC;","This SQL query selects order_id, status, order_date from the orders table and computes the count of city from the locations table as count_city. It performs a inner join join between the orders and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by count_city in asc order.","['`project.dataset.orders`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.orders"", ""left_column"": ""customer_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""orders"", ""locations""]","[{""left_table"": ""orders"", ""right_table"": ""locations"", ""left_column"": ""customer_id"", ""right_column"": ""location_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.return_id, t1.refund_amount, COUNT(*) as count_city FROM project.dataset.return_orders t1 INNER JOIN project.dataset.locations t2 ON t1.return_id = t2.location_id GROUP BY t1.return_id, t1.refund_amount ORDER BY t1.return_id DESC;","This SQL query selects return_id, refund_amount from the return_orders table and computes the aggregate of all rows from the locations table as None. It performs a inner join join between the return_orders and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by return_id in desc order.","['`project.dataset.return_orders`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.return_orders"", ""left_column"": ""return_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""return_orders"", ""locations""]","[{""left_table"": ""return_orders"", ""right_table"": ""locations"", ""left_column"": ""return_id"", ""right_column"": ""location_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.product_id, t1.stock, COUNT(t2.category_name) as count_category_name FROM project.dataset.products t1 LEFT JOIN project.dataset.categories t2 ON t1.category_id = t2.category_id GROUP BY t1.product_id, t1.stock ORDER BY count_category_name DESC;","This SQL query selects product_id, stock from the products table and computes the count of category_name from the categories table as count_category_name. It performs a left join join between the products and categories tables on the relevant fields, groups the results by the selected columns, and orders the results by count_category_name in desc order.","['`project.dataset.products`', '`project.dataset.categories`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.categories"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""categories""]","[{""left_table"": ""products"", ""right_table"": ""categories"", ""left_column"": ""category_id"", ""right_column"": ""category_id"", ""join_type"": ""LEFT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.status, t1.order_id, t1.refund_amount, MIN(t2.city) as min_city FROM project.dataset.return_orders t1 INNER JOIN project.dataset.locations t2 ON t1.return_id = t2.location_id GROUP BY t1.status, t1.order_id, t1.refund_amount ORDER BY min_city DESC;","This SQL query selects status, order_id, refund_amount from the return_orders table and computes the min of city from the locations table as min_city. It performs a inner join join between the return_orders and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by min_city in desc order.","['`project.dataset.return_orders`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.return_orders"", ""left_column"": ""return_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition""}]","[""return_orders"", ""locations""]","[{""left_table"": ""return_orders"", ""right_table"": ""locations"", ""left_column"": ""return_id"", ""right_column"": ""location_id"", ""join_type"": ""INNER JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
"SELECT t1.product_id, t1.unit_price, MIN(t2.zip_code) as min_zip_code FROM project.dataset.products t1 RIGHT JOIN project.dataset.locations t2 ON t1.category_id = t2.location_id GROUP BY t1.product_id, t1.unit_price ORDER BY t1.product_id DESC;","This SQL query selects product_id, unit_price from the products table and computes the min of zip_code from the locations table as min_zip_code. It performs a right join join between the products and locations tables on the relevant fields, groups the results by the selected columns, and orders the results by product_id in desc order.","['`project.dataset.products`', '`project.dataset.locations`']","[{""left_table"": ""project.dataset.products"", ""left_column"": ""category_id"", ""right_table"": ""project.dataset.locations"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition""}]","[""products"", ""locations""]","[{""left_table"": ""products"", ""right_table"": ""locations"", ""left_column"": ""category_id"", ""right_column"": ""location_id"", ""join_type"": ""RIGHT JOIN"", ""transformation"": ""simple_condition"", ""condition"": ""simple_condition"", ""format"": ""json""}]"
