
query,description,table,joins
SELECT * FROM customers WHERE status = 'active',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
SELECT COUNT(*) FROM orders WHERE order_date >= '2024-01-01',This query counts the number of records from the orders table with specific filtering conditions.,orders,
"SELECT customer_id, SUM(total_amount) FROM orders GROUP BY customer_id",This query calculates the sum of total_amount values from the orders table grouped by customer_id.,orders,
SELECT * FROM products WHERE category = 'electronics' AND price < 500,This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT o.order_id, c.customer_name FROM orders o JOIN customers c ON o.customer_id = c.customer_id",This query selects specific columns from the orders and customers tables. It joins the tables using the condition(s): o.customer_id = c.customer_id.,"orders, customers",o.customer_id = c.customer_id
SELECT AVG(price) FROM products WHERE category = 'clothing',This query calculates the average of price values from the products table with specific filtering conditions.,products,
SELECT * FROM inventory WHERE quantity < 10,This query retrieves all columns from the inventory table with specific filtering conditions.,inventory,
"SELECT customer_id, COUNT(*) as order_count FROM orders GROUP BY customer_id HAVING COUNT(*) > 5",This query counts the number of records from the orders table grouped by customer_id and having conditions.,orders,
SELECT * FROM employees WHERE hire_date BETWEEN '2023-01-01' AND '2023-12-31',This query retrieves all columns from the employees table with specific filtering conditions.,employees,
"SELECT product_name, MAX(price) FROM products GROUP BY category",This query finds the maximum price value from the products table grouped by category.,products,
UPDATE customers SET status = 'inactive' WHERE last_order_date < '2023-01-01',This query updates rows in the customers table by setting column values based on specified conditions.,customers,
DELETE FROM temp_orders WHERE created_date < CURRENT_DATE - INTERVAL '7 days',This query deletes rows from the temp_orders table based on specified conditions.,temp_orders,
"INSERT INTO products (name, category, price) VALUES ('New Item', 'gadgets', 99.99)",This query inserts new records into the products table with specified columns and values.,products,
SELECT DISTINCT category FROM products ORDER BY category,This query selects specific columns from the products table sorted by specified columns.,products,
SELECT * FROM orders WHERE total_amount > (SELECT AVG(total_amount) FROM orders),This query calculates the average of total_amount values from the orders table with specific filtering conditions.,orders,
"SELECT c.customer_name, COUNT(o.order_id) FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id",This query counts the number of o.order_id from the customers and orders tables grouped by c.customer_id. It joins the tables using the condition(s): c.customer_id = o.customer_id.,"customers, orders",c.customer_id = o.customer_id
SELECT * FROM products WHERE product_name LIKE '%phone%',This query retrieves all columns from the products table with specific filtering conditions.,products,
"SELECT YEAR(order_date) as year, MONTH(order_date) as month, SUM(total_amount) FROM orders GROUP BY YEAR(order_date), MONTH(order_date)",This query calculates the sum of total_amount values from the orders table.,orders,
SELECT * FROM customers WHERE email IS NULL OR email = '',This query retrieves all columns from the customers table with specific filtering conditions.,customers,
SELECT TOP 10 * FROM orders ORDER BY total_amount DESC,This query retrieves all columns from the orders table sorted by specified columns and limits the number of rows returned.,orders,
CREATE INDEX idx_customer_email ON customers(email),This query creates an index on the customers table to improve query performance.,customers,
"ALTER TABLE products ADD COLUMN discount_percentage DECIMAL(5,2)","This query alters the structure of the products table, such as adding or modifying a column or constraint.",products,
"SELECT p.product_name, SUM(oi.quantity) FROM products p JOIN order_items oi ON p.product_id = oi.product_id GROUP BY p.product_id",This query calculates the sum of oi.quantity values from the products and order_items tables grouped by p.product_id. It joins the tables using the condition(s): p.product_id = oi.product_id.,"products, order_items",p.product_id = oi.product_id
"SELECT * FROM orders WHERE DATEDIFF(CURRENT_DATE, order_date) <= 30",This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT customer_id, MIN(order_date) as first_order, MAX(order_date) as last_order FROM orders GROUP BY customer_id",This query finds the minimum order_date value from the orders table grouped by customer_id.,orders,
SELECT * FROM products WHERE price BETWEEN 100 AND 500,This query retrieves all columns from the products table with specific filtering conditions.,products,
UPDATE inventory SET quantity = quantity - 1 WHERE product_id = 123,This query updates rows in the inventory table by setting column values based on specified conditions.,inventory,
"SELECT c.customer_name, SUM(o.total_amount) as lifetime_value FROM customers c JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_id ORDER BY lifetime_value DESC",This query calculates the sum of o.total_amount values from the customers and orders tables grouped by c.customer_id and sorted by specified columns. It joins the tables using the condition(s): c.customer_id = o.customer_id.,"customers, orders",c.customer_id = o.customer_id
"SELECT * FROM orders WHERE order_status IN ('pending', 'processing')",This query retrieves all columns from the orders table with specific filtering conditions.,orders,
"SELECT AVG(DATEDIFF(ship_date, order_date)) as avg_shipping_days FROM orders WHERE ship_date IS NOT NULL","This query calculates the average of DATEDIFF(ship_date, order_date values from the orders table with specific filtering conditions.",orders,
"SELECT product_id, COUNT(*) as return_count FROM returns GROUP BY product_id ORDER BY return_count DESC",This query counts the number of records from the returns table grouped by product_id and sorted by specified columns.,returns,
SELECT * FROM customers WHERE YEAR(registration_date) = YEAR(CURRENT_DATE),This query retrieves all columns from the customers table with specific filtering conditions.,customers,
"SELECT category, COUNT(*) as product_count, AVG(price) as avg_price FROM products GROUP BY category",This query counts the number of records from the products table grouped by category.,products,
SELECT * FROM employees WHERE department = 'sales' AND salary > 50000,This query retrieves all columns from the employees table with specific filtering conditions.,employees,
DELETE FROM customers WHERE status = 'inactive' AND last_login_date < '2022-01-01',This query deletes rows from the customers table based on specified conditions.,customers,
"SELECT o.order_id, o.total_amount, c.customer_name FROM orders o INNER JOIN customers c ON o.customer_id = c.customer_id WHERE o.total_amount > 1000",This query selects specific columns from the orders and customers tables with specific filtering conditions. It joins the tables using the condition(s): o.customer_id = c.customer_id.,"orders, customers",o.customer_id = c.customer_id
