
table_id,column,datatype
project.dataset.categories,category_id,INTEGER
project.dataset.categories,category_name,STRING
project.dataset.categories,description,STRING
project.dataset.customer_contacts,contact_id,INTEGER
project.dataset.customer_contacts,customer_id,INTEGER
project.dataset.customer_contacts,email,STRING
project.dataset.customer_contacts,phone,STRING
project.dataset.customer_contacts,preferred_contact_method,STRING
project.dataset.inventory,inventory_id,INTEGER
project.dataset.inventory,last_updated,DATE
project.dataset.inventory,product_id,INTEGER
project.dataset.inventory,stock_level,NUMERIC
project.dataset.inventory,warehouse_id,INTEGER
project.dataset.employees,department_id,INTEGER
project.dataset.employees,employee_id,INTEGER
project.dataset.employees,first_name,STRING
project.dataset.employees,hire_date,DATE
project.dataset.employees,last_name,STRING
project.dataset.locations,address,STRING
project.dataset.locations,city,STRING
project.dataset.locations,location_id,INTEGER
project.dataset.locations,state,STRING
project.dataset.locations,zip_code,STRING
project.dataset.shipments,carrier,STRING
project.dataset.shipments,order_id,INTEGER
project.dataset.shipments,shipment_date,DATE
project.dataset.shipments,shipment_id,INTEGER
project.dataset.shipments,tracking_number,STRING
project.dataset.return_orders,order_id,INTEGER
project.dataset.return_orders,refund_amount,NUMERIC
project.dataset.return_orders,return_date,DATE
project.dataset.return_orders,return_id,INTEGER
project.dataset.return_orders,status,STRING
project.dataset.payments,amount,NUMERIC
project.dataset.payments,order_id,INTEGER
project.dataset.payments,payment_date,DATE
project.dataset.payments,payment_id,INTEGER
project.dataset.payments,payment_method,STRING
project.dataset.orders,amount,NUMERIC
project.dataset.orders,customer_id,INTEGER
project.dataset.orders,order_date,DATE
project.dataset.orders,order_id,INTEGER
project.dataset.orders,status,STRING
project.dataset.products,category_id,INTEGER
project.dataset.products,product_id,INTEGER
project.dataset.products,product_name,STRING
project.dataset.products,stock,NUMERIC
project.dataset.products,unit_price,NUMERIC
project.dataset.departments,department_id,INTEGER
project.dataset.departments,department_name,STRING
project.dataset.departments,location_id,INTEGER
project.dataset.sales,price,NUMERIC
project.dataset.sales,product_id,INTEGER
project.dataset.sales,quantity,NUMERIC
project.dataset.sales,sale_date,DATE
project.dataset.sales,sale_id,INTEGER
project.dataset.customers,city,STRING
project.dataset.customers,customer_id,INTEGER
project.dataset.customers,email,STRING
project.dataset.customers,state,STRING
project.dataset.suppliers,city,STRING
project.dataset.suppliers,state,STRING
project.dataset.suppliers,supplier_id,INTEGER
project.dataset.suppliers,supplier_name,STRING
project.dataset.order_details,detail_id,INTEGER
project.dataset.order_details,order_id,INTEGER
project.dataset.order_details,product_id,INTEGER
project.dataset.order_details,quantity,NUMERIC
project.dataset.order_details,unit_price,NUMERIC
project.dataset.inventory_movements,inventory_id,INTEGER
project.dataset.inventory_movements,movement_date,DATE
project.dataset.inventory_movements,movement_id,INTEGER
project.dataset.inventory_movements,movement_type,STRING
project.dataset.inventory_movements,quantity,NUMERIC
