id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
1389158,,3,4a218c4c-a628-464c-a8c5-d662a3cfe686,2021-04-06 03:30:00+00:00,175.41.131.54,Sapporo,Hokkaido,005-0849,Firefox,YouTube,/cancel,cancel
2261835,,3,6a0f4b2d-4026-4ef9-8531-32d76597225f,2019-04-10 09:41:00+00:00,199.134.140.180,Loda City,Akita,018-5201,Other,Facebook,/cancel,cancel
1736290,,3,07a2d923-1ec8-4b4c-9d8a-e50ec939ca04,2022-01-29 13:53:00+00:00,178.207.167.41,São Paulo,São Paulo,02220-000,Chrome,Adwords,/cancel,cancel
1582127,,3,a7b1fc65-4c7c-4815-b250-8310c3c0f29b,2019-11-16 08:03:00+00:00,157.18.163.34,São Paulo,São Paulo,02220-000,Other,Email,/cancel,cancel
2228746,,3,bab15082-acae-438a-b532-13eebee41a68,2020-02-06 14:24:00+00:00,170.216.214.137,São Paulo,São Paulo,02220-000,Other,Email,/cancel,cancel
1934558,,3,f3e4ba4a-a7bd-4a8d-a451-d7fd5e7f98d1,2022-12-30 05:26:00+00:00,70.8.1.121,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1771885,,3,7a8a5fb3-9257-4e8d-a78d-8d11fbacbd02,2019-08-01 14:34:00+00:00,94.243.180.137,São Paulo,São Paulo,02675-031,Chrome,YouTube,/cancel,cancel
1816996,,3,0d5a1e33-c6e4-4478-8d36-251b1a701b54,2024-10-28 15:46:00+00:00,184.217.170.40,São Paulo,São Paulo,02675-031,Chrome,Facebook,/cancel,cancel
1329971,,3,0450e6d7-63d6-4608-871c-4580d9713bba,2023-07-24 03:05:00+00:00,120.42.139.3,São Paulo,São Paulo,02675-031,Chrome,YouTube,/cancel,cancel
2121100,,3,2a33f159-691c-4b44-82c6-d3a725ce0f51,2025-03-06 09:36:00+00:00,55.186.249.205,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
1670396,,3,5d76455d-56dd-4f83-acac-ec1eace1ebd8,2022-07-26 10:09:00+00:00,16.67.194.229,São Paulo,São Paulo,02675-031,Other,Email,/cancel,cancel
2117769,,3,2c3978bb-e2c5-4137-8f1e-d0a2d889c5ad,2020-04-04 10:25:00+00:00,1.12.42.233,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
2333339,,3,152615b6-2007-42b6-bdcd-99a704857ae5,2025-09-04 19:24:00+00:00,189.93.121.216,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1591950,,3,9dfe7d16-c021-4788-ba15-0ae25b13ea78,2024-07-01 15:58:00+00:00,81.113.90.131,São Paulo,São Paulo,02675-031,Firefox,Email,/cancel,cancel
1982723,,3,d8040861-ea18-41bf-8483-4ae8ac5e5cd3,2024-05-29 19:22:00+00:00,75.225.53.67,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
1865076,,3,0bf07dd3-65a1-4fc9-8866-2c1c9f71bf91,2020-06-25 11:29:00+00:00,73.165.80.204,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
2280791,,3,95e65e83-ec5a-4cca-96de-735e95ef3577,2023-07-18 05:52:00+00:00,73.200.80.11,São Paulo,São Paulo,02675-031,Safari,Facebook,/cancel,cancel
1531539,,3,45a05549-71c7-42c8-aedd-4c2666f58fc8,2020-01-17 06:40:00+00:00,38.107.90.0,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1574081,,3,3e9a7f8f-8360-463d-8451-5d3fe05680f7,2023-04-18 06:44:00+00:00,4.226.70.146,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2355192,,3,f47c4044-79cc-4961-9520-781f23af0d5b,2025-01-20 10:57:00+00:00,193.133.202.29,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
2005260,,3,284f56b5-2388-4bf0-856d-6e46dffe9ffa,2024-08-04 10:45:00+00:00,168.0.157.158,São Paulo,São Paulo,02675-031,Chrome,Facebook,/cancel,cancel
2068547,,3,aa72858a-a8ad-4b43-aa9b-d674e527d3c8,2024-03-12 16:31:00+00:00,85.192.246.90,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1326375,,3,79f6e984-8ef6-4fb1-9d75-f32ea6ba655c,2022-08-16 09:58:00+00:00,111.118.79.87,São Paulo,São Paulo,02675-031,Other,Facebook,/cancel,cancel
1728132,,3,f01040f2-929f-4cfd-bf97-5edb4714caa5,2024-04-07 11:39:00+00:00,198.42.152.195,São Paulo,São Paulo,02675-031,Safari,Adwords,/cancel,cancel
1300943,,3,82748c01-dd8b-4724-a993-e2de9538270c,2025-03-25 04:17:00+00:00,192.194.90.26,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1463538,,3,b29437e1-dbda-4178-94bd-a0c195ced18c,2024-12-22 02:11:00+00:00,102.155.90.215,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
1692296,,3,091be041-9353-4d6b-a749-96e2aa0daccc,2023-09-15 14:43:00+00:00,156.149.249.177,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
1874789,,3,59c4a5a0-f386-419a-b407-07761d928ea7,2022-04-21 16:43:00+00:00,210.243.95.8,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
2328920,,3,ed1051fe-a664-4a57-96bd-4c9a11674c38,2022-09-11 02:32:00+00:00,130.179.33.38,São Paulo,São Paulo,02675-031,Firefox,Email,/cancel,cancel
1881682,,3,93044dc9-2710-43ec-9f46-180f131ab5c3,2024-02-06 17:46:00+00:00,18.65.207.109,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2289814,,3,43e075bc-571f-4fbe-9012-00d3796c9422,2022-06-16 11:46:00+00:00,184.27.147.61,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2025529,,3,f0b2deba-2d8f-4561-859c-9b289310c545,2025-01-26 05:11:00+00:00,124.12.177.148,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1573571,,3,fddf8ac6-6716-4d03-98d2-406e1dc581e9,2020-03-14 13:00:00+00:00,51.155.41.246,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
1834069,,3,f79125df-ff06-44f1-ac80-f2746781f7a6,2025-10-10 07:17:00+00:00,38.206.86.202,São Paulo,São Paulo,02675-031,Safari,Email,/cancel,cancel
2385858,,3,4db334c4-3eeb-4cec-946d-da0ee1c6b4e5,2020-05-25 07:40:00+00:00,40.38.205.170,São Paulo,São Paulo,02675-031,Firefox,Email,/cancel,cancel
1582658,,3,b6352514-34b5-4d09-a362-7e0c333867df,2024-07-21 07:38:00+00:00,169.165.144.142,São Paulo,São Paulo,02675-031,Chrome,Adwords,/cancel,cancel
1913515,,3,609c4a0b-8227-4bad-9f54-8030cef35a5b,2021-08-08 10:03:00+00:00,62.180.202.73,São Paulo,São Paulo,02675-031,Chrome,Email,/cancel,cancel
2054337,,3,0a2bb36c-df07-4136-9cbf-03b7d17b2602,2021-10-15 02:26:00+00:00,50.13.231.251,São Paulo,São Paulo,02675-031,Firefox,Facebook,/cancel,cancel
1366446,,3,9e192468-d30b-4f22-ab6b-bc071e819cdf,2023-01-21 05:20:00+00:00,14.93.164.254,São Paulo,São Paulo,02675-031,Chrome,YouTube,/cancel,cancel
1328568,,3,11f5e34a-55c6-49e7-8500-49a0380117bd,2022-12-17 13:36:00+00:00,70.73.37.204,São Paulo,São Paulo,02675-031,Safari,Facebook,/cancel,cancel
1827986,,3,c5e597c6-bd48-47fb-9f8f-1001e2ed254d,2024-05-02 10:02:00+00:00,120.62.6.137,São Paulo,São Paulo,02675-031,Firefox,YouTube,/cancel,cancel
2277623,,3,6457393d-bfed-4420-a85a-f80cde1cb35d,2019-04-24 03:57:00+00:00,175.156.241.109,São Paulo,São Paulo,02675-031,Firefox,Adwords,/cancel,cancel
2119378,,3,3b6c13b0-ed88-4177-9733-eb363e612db5,2025-06-06 17:48:00+00:00,176.109.151.247,Goldenzaki-cho,Iwate,029-4503,Firefox,Email,/cancel,cancel
1417753,,3,d6de4919-f048-4aff-a6bc-d969a1535128,2025-02-24 17:43:00+00:00,57.48.158.241,Goldenzaki-cho,Iwate,029-4503,Safari,Adwords,/cancel,cancel
1886533,,3,492330f2-a060-4062-b140-43ee71584dae,2019-06-23 05:30:00+00:00,169.181.2.167,Hachinohe,Aomori,039-2241,Other,Facebook,/cancel,cancel
2346703,,3,609b74ae-8f01-40d9-9d64-b1a4b56f56a4,2020-05-26 08:53:00+00:00,30.51.219.51,São Paulo,São Paulo,05577-200,Safari,Email,/cancel,cancel
1695014,,3,52eb6737-b92f-497f-a2e2-02e6b625ba14,2025-10-02 10:16:00+00:00,165.6.99.51,São Paulo,São Paulo,05577-200,Firefox,Adwords,/cancel,cancel
1415872,,3,359ea63e-69cc-4dc5-b638-b178fded7f07,2019-09-25 07:13:00+00:00,197.253.98.135,Sapporo,Hokkaido,061-2301,Chrome,YouTube,/cancel,cancel
1370604,,3,d4552a3f-29f9-4b9e-a77c-f339c9d6c704,2021-06-22 10:20:00+00:00,195.134.60.68,Vargem Grande Paulista,São Paulo,06730-000,Chrome,Email,/cancel,cancel
2174656,,3,f93223f8-c97f-4167-b37e-51a7dd6bb454,2021-08-01 08:26:00+00:00,208.38.172.144,Embu-Guaçu,São Paulo,06900-000,Chrome,Email,/cancel,cancel
1689715,,3,376f1370-a1ab-4299-9720-ac0b1768a579,2019-07-25 06:50:00+00:00,221.140.0.184,Embu-Guaçu,São Paulo,06900-000,IE,Email,/cancel,cancel
1906769,,3,0468ac43-0b4c-4d90-8cb3-87737ea3fc78,2024-09-16 19:02:00+00:00,197.128.247.99,Arujá,São Paulo,07432-575,Chrome,Email,/cancel,cancel
1545068,,3,293fa048-8858-4c71-b676-3c555586a978,2020-03-25 09:24:00+00:00,151.240.201.244,Arujá,São Paulo,07432-575,Other,Adwords,/cancel,cancel
1968718,,3,1c9b57db-7440-4630-8b9a-abb2136f3556,2023-03-12 14:28:00+00:00,198.93.220.170,Arujá,São Paulo,07432-575,Chrome,Facebook,/cancel,cancel
1621013,,3,ad173cf3-0af9-4aeb-a408-bcb3ae6805b5,2022-10-02 03:45:00+00:00,167.62.103.173,Arujá,São Paulo,07432-575,IE,Email,/cancel,cancel
1893267,,3,29bcd9d8-f186-4a16-90cb-8e344f212004,2024-05-03 03:26:00+00:00,169.62.1.88,Arujá,São Paulo,07432-575,Firefox,YouTube,/cancel,cancel
2190677,,3,320913b9-8db1-4b52-9461-27eed36ac474,2020-10-21 01:20:00+00:00,24.34.162.10,Arujá,São Paulo,07432-575,Chrome,Email,/cancel,cancel
1701615,,3,2aee7ecb-b17c-4083-8156-c93f9d502f0a,2020-10-09 05:03:00+00:00,160.222.98.49,Arujá,São Paulo,07432-575,IE,Adwords,/cancel,cancel
2155508,,3,5897d136-c1af-48a1-a560-5b7424ad62a1,2021-10-17 11:33:00+00:00,40.181.104.180,Santa Isabel,São Paulo,07500-000,Chrome,Email,/cancel,cancel
1639860,,3,dd701dea-7eaa-4a9a-b19e-757a20ee078d,2025-08-20 18:41:00+00:00,112.128.185.104,Santa Isabel,São Paulo,07500-000,Chrome,Email,/cancel,cancel
1301437,,3,355895a5-2977-445e-9f48-4a6e0646c5d8,2022-11-13 07:16:00+00:00,218.21.173.56,Mairiporã,São Paulo,07600-000,Firefox,Adwords,/cancel,cancel
1819282,,3,919cd8f0-7221-4a74-b0c0-40a5dfa4281e,2023-07-24 01:04:00+00:00,132.204.10.67,Caieiras,São Paulo,07700-000,Chrome,Email,/cancel,cancel
1848537,,3,5c4737f1-34c6-458b-a583-d44d4eeb64b3,2019-12-27 06:09:00+00:00,218.67.9.146,Caieiras,São Paulo,07700-000,Safari,YouTube,/cancel,cancel
1985974,,3,389aa281-fa36-4fbc-b411-749af1aef169,2020-01-14 13:12:00+00:00,188.168.66.68,Caieiras,São Paulo,07700-000,Chrome,Email,/cancel,cancel
1769488,,3,3b4d0589-3bab-4b7f-b5ff-7fa8ee3f8f78,2021-04-08 02:51:00+00:00,152.11.168.155,Cajamar,São Paulo,07750-000,Chrome,Facebook,/cancel,cancel
1995665,,3,898b03dd-cb7f-4aa1-b7fd-940cd8b9ac89,2019-03-27 12:59:00+00:00,153.159.169.58,Cajamar,São Paulo,07750-000,Chrome,Email,/cancel,cancel
1579835,,3,8a0c6f49-2ea3-40b6-83dc-972dcfeffc97,2021-02-16 12:12:00+00:00,30.39.46.195,Cajamar,São Paulo,07750-000,Chrome,Email,/cancel,cancel
1396436,,3,a42a0706-c8e9-42f4-9054-c2b65a617109,2024-03-10 16:36:00+00:00,120.93.92.172,São Paulo,São Paulo,08285-060,Chrome,Email,/cancel,cancel
1724933,,3,97843b30-23b8-41fd-9101-ab7d3801fdaf,2020-07-04 13:31:00+00:00,100.254.59.146,São Paulo,São Paulo,08285-060,Chrome,Facebook,/cancel,cancel
1691636,,3,d86e30ef-cf3d-40ce-b1c0-affa21983224,2024-07-23 00:41:00+00:00,56.80.4.135,São Paulo,São Paulo,08285-060,Firefox,YouTube,/cancel,cancel
1491091,,3,69bffe7a-6577-4a1c-a899-c8d3d7ad2a79,2021-03-13 05:35:00+00:00,9.151.48.231,São Paulo,São Paulo,08460-000,Firefox,Organic,/cancel,cancel
2040208,,3,af0202ee-35ec-40eb-bdc8-9dfbd8e430d9,2023-11-10 10:51:00+00:00,77.191.146.34,Rio Grande da Serra,São Paulo,09450-000,Safari,Adwords,/cancel,cancel
2117426,,3,eddc8477-4d7d-4a31-8863-8e185c728e32,2023-05-24 17:47:00+00:00,93.196.222.62,São Paulo,São Paulo,09581-680,Chrome,Facebook,/cancel,cancel
2154439,,3,2a09b04b-af21-4b23-a84c-26ee715897d2,2019-12-29 19:23:00+00:00,204.25.71.77,Diadema,São Paulo,09925-000,IE,Email,/cancel,cancel
1505358,,3,d5cb047f-f999-4982-af36-9e18619d5131,2021-07-09 14:45:00+00:00,22.94.236.57,Diadema,São Paulo,09925-000,Firefox,Email,/cancel,cancel
2140045,,3,86f97e68-4f5a-4e54-beb6-9bcbbbf119e7,2021-10-14 03:58:00+00:00,123.77.32.40,Seoul,Seoul,100-450,Firefox,YouTube,/cancel,cancel
1343574,,3,d2750003-49a9-4230-98c8-562e774e4f62,2024-11-09 17:47:00+00:00,144.153.81.33,Brussels,Brussels,1000,Safari,Email,/cancel,cancel
1342571,,3,2778ea45-222c-4037-8077-e2c5e7cef761,2022-05-23 13:18:00+00:00,35.43.79.194,Brussels,Brussels,1000,Chrome,Adwords,/cancel,cancel
1491301,,3,0606bb7c-a8e4-4bed-ab0f-e0ada819c3ac,2022-07-04 17:59:00+00:00,62.218.43.123,Brussels,Brussels,1000,Safari,Adwords,/cancel,cancel
1390314,,3,124d718a-981b-48d6-b7c8-3548751c864a,2021-07-22 16:25:00+00:00,178.45.135.57,Nanyang,Beijing,100009,Chrome,Email,/cancel,cancel
1500865,,3,f59de870-67d1-4d60-b113-34c998cb56c0,2024-04-04 01:52:00+00:00,28.148.139.218,Huanggang,Beijing,100010,Chrome,Adwords,/cancel,cancel
2146037,,3,076499be-5829-48f0-a9ad-4e3ec56d00b5,2022-04-27 04:37:00+00:00,172.59.189.49,Huanggang,Beijing,100010,Chrome,YouTube,/cancel,cancel
2051281,,3,3a04ee7b-39dc-4d31-aff7-ce00401593e4,2022-10-20 09:36:00+00:00,211.163.94.18,Huanggang,Beijing,100010,Firefox,Adwords,/cancel,cancel
1442771,,3,f53a2a60-6409-4e35-b23e-836f3ed2f9af,2023-12-31 15:13:00+00:00,103.215.203.142,Suzhou,Beijing,100011,Safari,Adwords,/cancel,cancel
1645778,,3,6e992330-e1c6-4689-878e-1bec4e02c183,2024-11-16 03:36:00+00:00,79.66.161.55,Suzhou,Beijing,100011,Chrome,YouTube,/cancel,cancel
2342911,,3,416f9fd6-4ef0-4c4a-8597-d47d3fdb773e,2021-10-16 14:00:00+00:00,208.233.211.231,Lijiang,Beijing,100012,Chrome,Email,/cancel,cancel
1830532,,3,b8d9e12a-d6ee-4038-b1b3-66125dcf09e6,2021-10-12 11:25:00+00:00,201.115.219.209,Luliang,Beijing,100013,Safari,Adwords,/cancel,cancel
2370566,,3,45e85dea-bcd1-47d4-b711-4a4ebf0ab8bd,2022-07-24 16:24:00+00:00,176.26.208.16,Luliang,Beijing,100013,Chrome,Email,/cancel,cancel
1718589,,3,17595f28-d449-4366-8aee-a3c69fc811c3,2019-03-31 18:43:00+00:00,192.226.130.177,Luliang,Beijing,100013,Chrome,Email,/cancel,cancel
1598703,,3,cb0815c3-b256-48a9-aa21-401fcdf1db2b,2022-07-15 05:02:00+00:00,10.68.9.177,Changzhi,Beijing,100016,Safari,Adwords,/cancel,cancel
1401141,,3,1b805b35-df33-489b-b687-7e41c6245cf8,2022-05-24 00:59:00+00:00,170.191.86.189,Huludao,Beijing,100018,Safari,Adwords,/cancel,cancel
1966973,,3,4f6d018e-46b2-46a3-b2d6-0167a38300fe,2023-05-06 13:46:00+00:00,29.113.165.54,Huludao,Beijing,100018,Safari,Email,/cancel,cancel
2314875,,3,df2c3ae1-b3e8-484b-8369-2105f54f22f6,2021-09-26 11:43:00+00:00,80.118.4.118,Huludao,Beijing,100018,Firefox,Adwords,/cancel,cancel
1882040,,3,ad3bd656-c29d-42e4-94f5-31a49e89df99,2019-11-16 08:18:00+00:00,203.118.170.187,New York,New York,10002,Chrome,Email,/cancel,cancel
1358330,,3,baf6d40e-1e66-4e74-b95e-22cb120ba74a,2025-04-22 05:31:00+00:00,176.80.203.176,Weihai,Beijing,100020,Chrome,Adwords,/cancel,cancel
1328860,,3,b2bf6587-1c29-4769-b0d1-4025d114543d,2020-03-19 13:56:00+00:00,115.48.2.222,Zhongshan,Beijing,100021,Other,Adwords,/cancel,cancel
2137569,,3,a312ff44-6874-44c0-98c2-4a882f30daaf,2024-07-09 13:13:00+00:00,84.131.43.198,Zhongshan,Beijing,100021,Chrome,Email,/cancel,cancel
1854745,,3,8164fa08-197c-47c7-bfcd-1084dc1dfcda,2019-12-30 05:53:00+00:00,107.116.55.14,Zhongshan,Beijing,100021,Chrome,Email,/cancel,cancel
1886827,,3,499d7714-89d0-459f-a863-15eae073d068,2022-12-05 12:09:00+00:00,116.207.108.92,Zhongshan,Beijing,100021,Safari,Adwords,/cancel,cancel
1503510,,3,6c1f98ee-8e99-4178-816f-8af98f90325b,2019-01-16 12:26:00+00:00,217.4.151.246,Zhongshan,Beijing,100021,Other,Adwords,/cancel,cancel
1599261,,3,00cc99d0-ec36-4d5b-9f3a-f1d93f75435c,2022-08-29 07:16:00+00:00,47.148.111.108,Huaibei,Beijing,100024,Safari,Email,/cancel,cancel
1746971,,3,268eb193-da21-410e-bfb6-7eab546da3a2,2025-02-21 18:21:00+00:00,173.255.69.177,Huaibei,Beijing,100024,Chrome,Facebook,/cancel,cancel
2365447,,3,e78fd7e1-35ab-448b-8c6a-be1ddcce17c4,2020-02-25 13:49:00+00:00,94.28.101.132,Guiyang,Beijing,100025,Safari,Facebook,/cancel,cancel
2082514,,3,f164a7d9-f34a-4cf0-bf16-331abcc69a16,2019-01-14 09:38:00+00:00,161.52.178.86,Guiyang,Beijing,100025,Other,Adwords,/cancel,cancel
1683857,,3,b66f5bd1-558c-4125-82e4-7d4994f1ed5b,2021-02-15 06:06:00+00:00,104.175.123.53,Guiyang,Beijing,100025,Chrome,Facebook,/cancel,cancel
1846930,,3,fab11ee1-a25d-4370-b3e9-8f60c47dda7a,2025-05-22 06:44:00+00:00,103.179.177.56,Qingdao,Beijing,100026,Chrome,Email,/cancel,cancel
2108233,,3,d11c2ffc-c0e9-4552-81b0-506d04495fda,2025-02-25 11:21:00+00:00,153.238.227.165,Beijing,Beijing,100028,Chrome,Email,/cancel,cancel
1550992,,3,912f70ea-0c40-462c-8ebe-deae83a36117,2023-09-30 08:09:00+00:00,109.169.156.142,Beijing,Beijing,100028,Firefox,Email,/cancel,cancel
2183040,,3,aaf10cba-0019-46b2-88f3-6fa1b66e1a1d,2023-04-16 03:34:00+00:00,1.183.165.47,Zhangzhou,Beijing,100029,Safari,Adwords,/cancel,cancel
1918954,,3,0eb3103d-500b-413d-90f0-ae85adf0d5f1,2020-01-18 15:43:00+00:00,131.6.65.2,Zhangzhou,Beijing,100029,Chrome,YouTube,/cancel,cancel
1392393,,3,15546c33-6be5-460c-aa72-6152761ad538,2020-08-17 12:18:00+00:00,105.67.46.105,Zhangzhou,Beijing,100029,Firefox,Adwords,/cancel,cancel
1555173,,3,edc50797-c188-4621-80f0-845e6fe3ca42,2019-03-29 01:52:00+00:00,138.115.227.98,Qujing,Beijing,100032,Chrome,Adwords,/cancel,cancel
2352697,,3,262f25d9-4611-447b-9994-e663ac7fb654,2020-01-21 15:32:00+00:00,64.108.19.189,Zhumadian,Beijing,100033,Chrome,Email,/cancel,cancel
2158851,,3,65cc1778-6c6f-4b48-a768-49d4d9838f72,2020-02-03 11:02:00+00:00,23.151.232.92,Foshan,Beijing,100035,Chrome,Facebook,/cancel,cancel
1547464,,3,a06c0b05-0579-43c8-b065-4b768f6cc80c,2020-07-07 09:37:00+00:00,73.59.55.26,Foshan,Beijing,100035,Safari,Adwords,/cancel,cancel
