id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
93411,64384,51284,14235,252290,Cancelled,2021-03-11 12:02:54+00:00,,,,0.0199999995529651
32765,22631,18012,14235,88350,Complete,2022-08-20 03:16:31+00:00,2022-08-21 07:34:00+00:00,2022-08-23 04:51:00+00:00,,0.0199999995529651
83970,57861,46020,14235,226781,Complete,2023-12-06 03:22:20+00:00,2023-12-06 22:51:00+00:00,2023-12-08 12:48:00+00:00,,0.0199999995529651
141365,97435,77811,14235,381826,Complete,2024-08-16 08:41:35+00:00,2024-08-18 16:57:00+00:00,2024-08-21 03:58:00+00:00,,0.0199999995529651
148357,102271,81683,14235,400770,Processing,2025-06-26 20:31:58+00:00,,,,0.0199999995529651
53862,37139,29536,14235,145421,Returned,2025-05-25 01:06:36+00:00,2025-05-23 04:37:00+00:00,2025-05-26 00:06:00+00:00,2025-05-26 04:54:00+00:00,0.0199999995529651
132651,91433,72968,14235,358227,Shipped,2024-04-26 10:10:39+00:00,2024-04-28 23:58:00+00:00,,,0.0199999995529651
2525,1737,1359,14159,6794,Cancelled,2025-01-01 06:33:49+00:00,,,,0.4900000095367431
43506,30037,23954,14159,117432,Cancelled,2023-09-05 07:48:55+00:00,,,,0.4900000095367431
177158,122158,97649,14159,478530,Complete,2025-05-24 21:27:48+00:00,2025-05-23 18:22:00+00:00,2025-05-27 23:35:00+00:00,,0.4900000095367431
3849,2635,2090,14159,10317,Processing,2022-09-01 06:48:50+00:00,,,,0.4900000095367431
25081,17373,13879,14159,67611,Returned,2020-11-27 22:15:55+00:00,2020-11-28 07:48:00+00:00,2020-11-30 17:20:00+00:00,2020-11-30 23:01:00+00:00,0.4900000095367431
101239,69757,55567,14159,273379,Returned,2022-05-09 12:30:17+00:00,2022-05-11 05:32:00+00:00,2022-05-13 10:41:00+00:00,2022-05-15 09:02:00+00:00,0.4900000095367431
129099,88965,70965,14159,348611,Returned,2022-06-16 01:51:38+00:00,2022-06-19 00:06:00+00:00,2022-06-22 06:38:00+00:00,2022-06-24 16:43:00+00:00,0.4900000095367431
75449,51993,41404,14159,203714,Shipped,2024-11-30 00:25:43+00:00,2024-11-30 14:02:00+00:00,,,0.4900000095367431
169070,116497,93102,14159,456732,Shipped,2024-09-26 02:53:26+00:00,2024-09-27 00:53:00+00:00,,,0.4900000095367431
27986,19347,15473,14202,75426,Cancelled,2023-06-18 15:54:35+00:00,,,,1.5
43605,30104,24006,14202,117694,Complete,2025-04-09 10:17:40+00:00,2025-04-09 21:20:00+00:00,2025-04-09 23:27:00+00:00,,1.5
55294,38136,30324,14202,149270,Complete,2024-06-10 14:32:40+00:00,2024-06-11 16:14:00+00:00,2024-06-13 08:52:00+00:00,,1.5
59487,41026,32685,28700,160614,Complete,2021-09-22 03:14:49+00:00,2021-09-24 10:46:00+00:00,2021-09-28 14:20:00+00:00,,1.5
60918,42008,33479,28700,164507,Complete,2024-09-19 10:34:09+00:00,2024-09-19 01:47:00+00:00,2024-09-22 11:42:00+00:00,,1.5
61300,42279,33701,28700,165557,Complete,2025-06-07 01:30:29+00:00,2025-06-06 01:01:00+00:00,2025-06-08 23:53:00+00:00,,1.5
74605,51409,40926,28700,201440,Complete,2024-02-03 01:05:30+00:00,2024-02-03 17:02:00+00:00,2024-02-07 02:56:00+00:00,,1.5
172993,119273,95334,28700,467302,Complete,2024-04-27 03:22:47+00:00,2024-04-27 21:46:00+00:00,2024-05-02 11:21:00+00:00,,1.5
37203,25673,20396,28700,100356,Processing,2024-09-17 02:58:45+00:00,,,,1.5
40432,27901,22188,28700,109124,Processing,2025-08-29 12:39:04+00:00,,,,1.5
62244,42929,34223,28700,168149,Processing,2024-11-06 08:13:18+00:00,,,,1.5
68339,47120,37545,14202,184561,Processing,2024-01-21 01:20:37+00:00,,,,1.5
113166,78017,62257,14202,305689,Processing,2024-07-29 22:00:53+00:00,,,,1.5
149780,103254,82488,28700,404650,Processing,2021-06-10 02:54:05+00:00,,,,1.5
20374,14106,11266,14202,54943,Shipped,2025-10-16 13:42:10.634237+00:00,2025-10-18 03:04:39.634237+00:00,,,1.5
36867,25442,20210,14202,99467,Shipped,2021-06-27 05:08:03+00:00,2021-06-29 23:24:00+00:00,,,1.5
90792,62588,49816,28700,245194,Shipped,2021-12-24 06:08:11+00:00,2021-12-25 02:11:00+00:00,,,1.5
139033,95836,76580,14202,375480,Shipped,2024-02-01 08:40:44+00:00,2024-02-01 05:04:00+00:00,,,1.5
177940,122697,98057,28700,480660,Shipped,2022-10-22 07:12:52+00:00,2022-10-22 14:00:00+00:00,,,1.5
22508,15599,12443,13629,60693,Complete,2025-07-10 16:27:07+00:00,2025-07-10 20:20:00+00:00,2025-07-11 23:55:00+00:00,,1.5099999904632568
24904,17250,13774,13629,67141,Complete,2022-03-17 05:02:53+00:00,2022-03-18 05:50:00+00:00,2022-03-18 16:34:00+00:00,,1.5099999904632568
95158,65588,52216,13629,256989,Returned,2021-07-17 01:48:51+00:00,2021-07-18 00:16:00+00:00,2021-07-18 12:08:00+00:00,2021-07-19 06:43:00+00:00,1.5099999904632568
60506,41726,33266,13629,163405,Shipped,2025-10-08 06:07:14+00:00,2025-10-09 20:58:00+00:00,,,1.5099999904632568
134663,92822,74058,13629,363651,Shipped,2021-04-08 04:40:13+00:00,2021-04-10 00:19:00+00:00,,,1.5099999904632568
135307,93264,74432,13629,365397,Shipped,2023-02-02 01:48:23+00:00,2023-02-03 01:05:00+00:00,,,1.5099999904632568
33034,22814,18154,14298,89073,Cancelled,2025-09-12 10:15:58+00:00,,,,1.7200000286102295
46302,31999,25509,14298,124976,Cancelled,2025-04-22 14:38:28+00:00,,,,1.7200000286102295
151127,104157,83185,14298,408315,Cancelled,2022-04-20 07:53:23+00:00,,,,1.7200000286102295
152522,105145,83954,14298,412065,Cancelled,2021-12-22 13:27:25+00:00,,,,1.7200000286102295
86333,59496,47355,14298,233136,Complete,2025-01-30 15:35:23+00:00,2025-02-01 03:23:00+00:00,2025-02-02 05:02:00+00:00,,1.7200000286102295
144453,99581,79548,14298,390193,Complete,2023-09-03 07:35:01+00:00,2023-09-06 07:24:00+00:00,2023-09-07 16:42:00+00:00,,1.7200000286102295
151461,104405,83384,14298,409226,Complete,2025-01-13 18:00:53+00:00,2025-01-13 09:36:00+00:00,2025-01-16 04:17:00+00:00,,1.7200000286102295
75997,52369,41689,14298,205225,Shipped,2021-12-10 23:41:58+00:00,2021-12-12 12:46:00+00:00,,,1.7200000286102295
134376,92629,73897,14298,362874,Shipped,2024-11-22 21:42:27+00:00,2024-11-22 21:12:00+00:00,,,1.7200000286102295
170182,117276,93731,14298,459733,Shipped,2025-09-14 16:18:32+00:00,2025-09-14 18:00:00+00:00,,,1.7200000286102295
10817,7440,5932,12536,29136,Cancelled,2024-04-28 14:27:14+00:00,,,,1.75
174262,120169,96066,12536,470703,Cancelled,2023-10-21 08:24:11+00:00,,,,1.75
796,527,399,12536,2167,Complete,2022-04-30 23:59:15+00:00,2022-05-01 18:46:00+00:00,2022-05-04 08:11:00+00:00,,1.75
35715,24661,19616,12536,96337,Complete,2024-01-06 00:44:50+00:00,2024-01-06 08:22:00+00:00,2024-01-08 23:08:00+00:00,,1.75
39083,26965,21413,12536,105449,Complete,2025-07-20 15:57:17+00:00,2025-07-23 09:42:00+00:00,2025-07-28 09:33:00+00:00,,1.75
48592,33536,26718,12536,131123,Complete,2025-09-16 09:29:50+00:00,2025-09-17 22:06:00+00:00,2025-09-22 03:51:00+00:00,,1.75
136964,94418,75372,12536,369879,Complete,2024-05-28 23:43:34+00:00,2024-05-31 11:13:00+00:00,2024-06-01 23:58:00+00:00,,1.75
14356,9903,7911,12536,38626,Processing,2024-12-31 05:29:41+00:00,,,,1.75
109562,75543,60241,12536,295949,Shipped,2025-10-08 16:31:38+00:00,2025-10-10 01:20:00+00:00,,,1.75
137814,95020,75884,15332,372180,Cancelled,2022-02-26 08:43:51+00:00,,,,1.8200000524520876
179736,123962,99072,13659,485496,Complete,2020-11-10 08:23:30+00:00,2020-11-12 04:30:00+00:00,2020-11-17 00:52:00+00:00,,1.8200000524520876
24836,17202,13727,13659,66966,Processing,2025-06-02 10:40:09+00:00,,,,1.8200000524520876
105392,72607,57877,13659,284659,Returned,2021-09-28 00:32:07+00:00,2021-09-28 19:13:00+00:00,2021-10-03 18:04:00+00:00,2021-10-05 20:45:00+00:00,1.8200000524520876
7350,5054,4002,15332,19745,Shipped,2024-08-31 12:50:25+00:00,2024-08-28 11:19:00+00:00,,,1.8200000524520876
13987,9652,7699,15332,37636,Shipped,2025-08-07 01:44:33+00:00,2025-08-06 15:16:00+00:00,,,1.8200000524520876
120693,83205,66465,15332,325952,Shipped,2025-05-01 03:00:15+00:00,2025-05-01 07:33:00+00:00,,,1.8200000524520876
12603,8684,6928,9043,33914,Cancelled,2022-03-17 04:53:20+00:00,,,,1.950000047683716
57584,39738,31641,3049,155434,Cancelled,2024-11-21 11:19:05+00:00,,,,1.950000047683716
134414,92653,73914,9043,362973,Cancelled,2025-10-15 03:53:05+00:00,,,,1.950000047683716
172145,118685,94863,9204,465026,Cancelled,2025-09-18 12:45:57+00:00,,,,1.950000047683716
2930,2015,1583,3049,7876,Complete,2024-07-03 13:20:27+00:00,2024-07-03 21:44:00+00:00,2024-07-05 07:11:00+00:00,,1.950000047683716
36321,25078,19933,3049,97974,Complete,2022-04-26 15:55:37+00:00,2022-04-24 07:15:00+00:00,2022-04-25 03:13:00+00:00,,1.950000047683716
64769,44659,35552,3049,174953,Complete,2025-05-22 18:06:06+00:00,2025-05-24 05:13:00+00:00,2025-05-28 23:40:00+00:00,,1.950000047683716
102085,70318,56033,9204,275658,Complete,2022-12-12 04:49:09+00:00,2022-12-13 12:40:00+00:00,2022-12-14 06:19:00+00:00,,1.950000047683716
125990,86851,69335,3049,340266,Complete,2022-07-09 02:47:10+00:00,2022-07-09 13:30:00+00:00,2022-07-10 12:01:00+00:00,,1.950000047683716
141409,97464,77835,9204,381944,Complete,2025-08-03 00:05:05+00:00,2025-07-31 14:14:00+00:00,2025-08-02 14:17:00+00:00,,1.950000047683716
45349,31335,24990,3049,122413,Processing,2023-07-03 07:24:46+00:00,,,,1.950000047683716
95379,65731,52332,9043,257583,Processing,2025-04-27 05:21:38+00:00,,,,1.950000047683716
86112,59344,47226,3049,232558,Returned,2025-05-18 23:38:06+00:00,2025-05-21 01:25:00+00:00,2025-05-22 15:43:00+00:00,2025-05-23 13:46:00+00:00,1.950000047683716
135567,93466,74606,3049,366094,Returned,2025-10-18 15:51:17+00:00,2025-10-18 13:17:00+00:00,2025-10-22 11:02:00+00:00,2025-10-25 09:48:00+00:00,1.950000047683716
10362,7131,5689,9204,27918,Shipped,2024-05-10 06:01:02+00:00,2024-05-11 14:31:00+00:00,,,1.950000047683716
21778,15098,12032,9043,58751,Shipped,2025-02-03 14:33:20+00:00,2025-02-04 18:29:00+00:00,,,1.950000047683716
33608,23223,18472,9204,90639,Shipped,2025-10-16 11:54:38+00:00,2025-10-16 21:34:00+00:00,,,1.950000047683716
126452,87169,69567,9043,341506,Shipped,2022-08-02 13:01:11+00:00,2022-08-03 06:56:00+00:00,,,1.950000047683716
151714,104585,83516,9204,409906,Shipped,2024-04-29 05:05:41+00:00,2024-04-28 21:48:00+00:00,,,1.950000047683716
166590,114770,91691,14549,450015,Cancelled,2023-10-24 17:24:36+00:00,,,,1.9800000190734863
29331,20268,16167,14549,79072,Complete,2023-11-12 08:27:55+00:00,2023-11-14 09:22:00+00:00,2023-11-19 02:01:00+00:00,,1.9800000190734863
85859,59178,47101,14549,231874,Complete,2024-12-29 01:33:11+00:00,2024-12-28 03:28:00+00:00,2024-12-30 11:51:00+00:00,,1.9800000190734863
112112,77284,61665,14549,302828,Complete,2020-04-20 11:06:34+00:00,2020-04-18 01:05:00+00:00,2020-04-21 22:02:00+00:00,,1.9800000190734863
120046,82729,66072,14549,324231,Complete,2021-07-26 01:42:22+00:00,2021-07-28 10:27:00+00:00,2021-07-31 14:25:00+00:00,,1.9800000190734863
123962,85478,68248,14549,334812,Complete,2024-12-25 15:23:11+00:00,2024-12-24 09:51:00+00:00,2024-12-24 18:51:00+00:00,,1.9800000190734863
120159,82812,66140,14549,324536,Processing,2019-11-08 05:57:40+00:00,,,,1.9800000190734863
162042,111650,89096,14549,437820,Processing,2022-03-08 03:02:49+00:00,,,,1.9800000190734863
41550,28684,22836,14549,112138,Returned,2020-03-29 13:57:16+00:00,2020-03-31 09:20:00+00:00,2020-03-31 20:23:00+00:00,2020-04-03 20:07:00+00:00,1.9800000190734863
106089,73104,58281,14549,286556,Shipped,2025-09-27 08:20:57+00:00,2025-09-30 03:54:00+00:00,,,1.9800000190734863
17171,11867,9449,13606,46230,Cancelled,2023-06-21 00:39:21+00:00,,,,2.5
30993,21436,17083,13606,83556,Complete,2023-03-19 03:48:28+00:00,2023-03-21 15:05:00+00:00,2023-03-23 15:31:00+00:00,,2.5
89459,61684,49106,13606,241577,Complete,2024-08-23 12:08:36+00:00,2024-08-21 05:06:00+00:00,2024-08-24 17:24:00+00:00,,2.5
72002,49626,39508,13606,194422,Processing,2025-05-04 21:51:30+00:00,,,,2.5
31810,21985,17522,13606,85767,Returned,2023-10-06 09:54:24+00:00,2023-10-05 22:30:00+00:00,2023-10-09 17:52:00+00:00,2023-10-10 02:29:00+00:00,2.5
28358,19593,15641,13606,76418,Shipped,2025-10-03 02:49:17+00:00,2025-10-02 19:38:00+00:00,,,2.5
127388,87794,70079,13606,344036,Shipped,2022-09-15 02:15:49+00:00,2022-09-17 11:28:00+00:00,,,2.5
85626,59014,46976,28913,231257,Cancelled,2020-10-01 06:21:28+00:00,,,,2.5899999141693115
166632,114795,91714,28913,450129,Cancelled,2022-12-25 00:03:25+00:00,,,,2.5899999141693115
91157,62832,50019,28913,246176,Complete,2025-08-31 08:22:25+00:00,2025-09-03 01:50:00+00:00,2025-09-03 15:31:00+00:00,,2.5899999141693115
8738,5980,4728,28913,23503,Processing,2025-08-30 01:23:24+00:00,,,,2.5899999141693115
104068,71710,57146,28913,281052,Processing,2023-05-08 02:17:45+00:00,,,,2.5899999141693115
95997,66164,52664,28913,259264,Returned,2022-08-07 17:37:40+00:00,2022-08-05 02:55:00+00:00,2022-08-09 05:09:00+00:00,2022-08-11 05:48:00+00:00,2.5899999141693115
93824,64656,51490,28913,253399,Shipped,2025-07-24 10:58:35+00:00,2025-07-24 10:04:00+00:00,,,2.5899999141693115
