query,description
"SELECT t1.category_id, t1.description, COUNT(*) as count_email FROM categories t1 LEFT JOIN customer_contacts t2 ON t1.category_id = t2.customer_id GROUP BY t1.category_id, t1.description ORDER BY count_email ASC;","This SQL query retrieves each category's ID and description from the 'categories' table along with a count of associated customer contacts (indicating potential email communications) in the 'customer_contacts' table. It groups results by category, orders them by ascending contact counts, and may help identify categories with fewer or no email interactions."
"SELECT t1.preferred_contact_method, t1.email, t1.contact_id, COUNT(t2.stock_level) as count_stock_level FROM customer_contacts t1 INNER JOIN inventory t2 ON t1.customer_id = t2.product_id GROUP BY t1.preferred_contact_method, t1.email, t1.contact_id ORDER BY t1.contact_id ASC;","This query retrieves each customer's preferred contact method, email, and unique identifier (contact ID), along with the total stock levels of products associated with them from a join between 'customer_contacts' and 'inventory' tables, ordered by contact ID. It groups results based on contact preferences and emails to provide insights into inventory status linked to customer communication methods."
"SELECT t1.last_name, t1.department_id, t1.hire_date, COUNT(t2.zip_code) as count_zip_code FROM employees t1 RIGHT JOIN locations t2 ON t1.employee_id = t2.location_id GROUP BY t1.last_name, t1.department_id, t1.hire_date ORDER BY t1.last_name DESC;","This SQL query retrieves the last name, department ID, and hire date of employees from a joined table of employees and locations, along with the count of unique zip codes associated with each employee's location. The results are grouped by last name, department, and hire date, ordered in descending order by last name."
"SELECT t1.shipment_id, t1.tracking_number, t1.shipment_date, SUM(t2.status) as sum_status FROM shipments t1 RIGHT JOIN return_orders t2 ON t1.order_id = t2.order_id GROUP BY t1.shipment_id, t1.tracking_number, t1.shipment_date ORDER BY t1.shipment_date ASC;","This query retrieves shipment details (ID, tracking number, and date) along with the total status count from return orders for each shipment, grouped by shipment ID, tracking number, and date, in ascending order of shipment date. The key tables involved are 'shipments' and 'return_orders'."
"SELECT t1.contact_id, t1.preferred_contact_method, MAX(t2.payment_date) as max_payment_date FROM customer_contacts t1 RIGHT JOIN payments t2 ON t1.customer_id = t2.payment_id GROUP BY t1.contact_id, t1.preferred_contact_method ORDER BY max_payment_date DESC;","This SQL query retrieves the contact ID and preferred communication method of customers from the 'customer_contacts' table, along with the latest payment date for each customer by joining it with the 'payments' table on customer ID. The results are grouped by contact ID and preferred communication method, sorted in descending order based on the most recent payment date."
"SELECT t1.order_id, t1.status, t1.order_date, COUNT(t2.city) as count_city FROM orders t1 INNER JOIN locations t2 ON t1.customer_id = t2.location_id GROUP BY t1.order_id, t1.status, t1.order_date ORDER BY count_city ASC;","This SQL query retrieves the order ID, status, and date for each order from the 'orders' table (t1), along with a count of cities associated with each order from the 'locations' table (t2). It groups results by order ID, status, and date, then sorts them in ascending order based on the number of unique cities linked to each order."
"SELECT t1.return_id, t1.refund_amount, COUNT(*) as count_city FROM return_orders t1 INNER JOIN locations t2 ON t1.return_id = t2.location_id GROUP BY t1.return_id, t1.refund_amount ORDER BY t1.return_id DESC;","This SQL query retrieves the return ID and refund amount from the 'return_orders' table (t1) and counts the number of locations associated with each return by joining it with the 'locations' table (t2). The results are grouped by return ID and refund amount, ordered in descending order based on return ID.

Key tables: 
- return_orders (t1): Contains information about returns, including return ID and refund amount.
- locations (t2): Stores location data associated with each return.

Metrics:
- Return ID
- Refund Amount
- Count of cities per return (count_city)"
"SELECT t1.product_id, t1.stock, COUNT(t2.category_name) as count_category_name FROM products t1 LEFT JOIN categories t2 ON t1.category_id = t2.category_id GROUP BY t1.product_id, t1.stock ORDER BY count_category_name DESC;","This SQL query retrieves the product ID and stock quantity from the ""products"" table, along with a count of distinct category names associated with each product (from the ""categories"" table), then groups the results by product ID and stock quantity. The output is sorted in descending order based on the number of categories per product. This helps to identify products that belong to multiple categories or have high diversity in their categorization, which could be useful for inventory management or marketing strategies."
"SELECT t1.status, t1.order_id, t1.refund_amount, MIN(t2.city) as min_city FROM return_orders t1 INNER JOIN locations t2 ON t1.return_id = t2.location_id GROUP BY t1.status, t1.order_id, t1.refund_amount ORDER BY min_city DESC;","This SQL query retrieves the order status, order ID, and refund amount from return orders (t1) joined with locations (t2) based on matching return IDs and location IDs. It groups results by status, order ID, and refund amount, then selects the minimum city for each group and sorts them in descending order of cities. The purpose is to analyze refund amounts across different statuses and orders while considering their geographical distribution."
"SELECT t1.product_id, t1.unit_price, MIN(t2.zip_code) as min_zip_code FROM products t1 RIGHT JOIN locations t2 ON t1.category_id = t2.location_id GROUP BY t1.product_id, t1.unit_price ORDER BY t1.product_id DESC;","This SQL query retrieves the product ID and unit price from the 'products' table and finds the minimum zip code associated with each product category in the 'locations' table. It groups results by product ID and unit price, then orders them in descending order based on product ID. The purpose is to analyze products' distribution across different locations."
"SELECT t1.zip_code, t1.location_id, t1.state, MIN(t2.payment_date) as min_payment_date FROM locations t1 INNER JOIN payments t2 ON t1.location_id = t2.payment_id GROUP BY t1.zip_code, t1.location_id, t1.state ORDER BY min_payment_date DESC;","This SQL query retrieves the minimum payment date for each location (identified by zip code, location ID, and state) by joining the 'locations' table with the 'payments' table on matching location IDs. The results are grouped by location attributes and ordered in descending order based on the earliest payment date."
"SELECT t1.category_id, t1.product_id, t1.unit_price, COUNT(*) as count_tracking_number FROM products t1 LEFT JOIN shipments t2 ON t1.category_id = t2.shipment_id GROUP BY t1.category_id, t1.product_id, t1.unit_price ORDER BY count_tracking_number ASC;","This SQL query retrieves the category ID, product ID, and unit price of products from the 'products' table, along with a count of associated tracking numbers from the 'shipments' table (if any), grouped by category, product, and unit price. It orders the results in ascending order based on the number of tracking numbers linked to each product within its category."
"SELECT t1.payment_id, t1.payment_date, t1.amount, SUM(t2.order_date) as sum_order_date FROM payments t1 LEFT JOIN orders t2 ON t1.order_id = t2.order_id GROUP BY t1.payment_id, t1.payment_date, t1.amount ORDER BY sum_order_date DESC;","This SQL query retrieves payment information (payment ID, date, and amount) from the payments table and calculates the total order dates for each payment by joining with the orders table on order IDs. It groups results by payment details and sorts them in descending order based on the sum of order dates associated with each payment."
"SELECT t1.return_date, t1.return_id, t1.refund_amount, COUNT(t2.department_name) as count_department_name FROM return_orders t1 LEFT JOIN departments t2 ON t1.return_id = t2.department_id GROUP BY t1.return_date, t1.return_id, t1.refund_amount ORDER BY count_department_name ASC;","This SQL query retrieves the return date, return ID, and refund amount from the 'return_orders' table, while also counting the number of associated department names for each return in the 'departments' table. It groups the results by return date, ID, and refund amount, ordering them in ascending order based on the count of department names per return."
